Name,#Images,#Recognised images,Percent of recognising
Julianne_Moore,19,19,100.0
Kevin_Borseth,1,1,100.0
Ruano_Pascual,1,1,100.0
Dewayne_White,1,1,100.0
Joshua_Davey,1,1,100.0
Mary_Robinson,1,1,100.0
Peter_Hillary,2,2,100.0
Amelia_Vega,7,7,100.0
Tyler_Grillo,1,1,100.0
Kieran_Culkin,1,1,100.0
Eric_Robert_Rudolph,3,3,100.0
Alexander_Downer,4,4,100.0
Gene_Autry,1,1,100.0
Joseph_Blatter,2,2,100.0
Geno_Auriemma,2,2,100.0
Olivier_Boulay,1,1,100.0
Tim_Henman,19,19,100.0
Julius_Barnes,1,1,100.0
Juan_Carlos,1,1,100.0
Irwan_Fadzi_Idris,1,1,100.0
Melissa_Manchester,1,1,100.0
Micheal_Jourdain_Jr,1,1,100.0
Larry_Campbell,1,1,100.0
Tom_Crean,5,5,100.0
Samira_Makhmalbaf,2,2,100.0
Julian_Fantino,1,1,100.0
Nelson_Acosta,1,1,100.0
Brian_McIntyre,1,1,100.0
Juan_Roman_Riquelme,1,1,100.0
Monica_Bellucci,4,4,100.0
Matthias_Sammer,1,1,100.0
Gerard_Kleisterlee,1,1,100.0
Calista_Flockhart,6,6,100.0
Diana_Taylor,1,1,100.0
Cecilia_Cheung,1,1,100.0
Kyle_Shewfelt,1,1,100.0
Bob_Petrino,1,1,100.0
Allan_Houston,1,1,100.0
Eric_Lloyd,1,1,100.0
Catherine_Zeta-Jones,11,11,100.0
Bob_Newhart,1,1,100.0
Buck_Rodgers,1,1,100.0
Hector_Mitelman,1,1,100.0
Dionyssis_Georgiadis,1,1,100.0
Brandon_Knight,1,1,100.0
Tino_Martinez,1,1,100.0
Sonya_Walger,1,1,100.0
Ali_Naimi,8,8,100.0
Harry_Kalas,2,2,100.0
Alexandra_Spann,1,1,100.0
Rupert_Murdoch,2,2,100.0
Larry_Thompson,4,4,100.0
Larry_Wilmore,1,1,100.0
Nicolas_Latorre,1,1,100.0
Alexis_Bledel,1,1,100.0
Eric_Lindros,1,1,100.0
Vaclav_Havel,9,9,100.0
Nathan_Powell,1,1,100.0
