Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Nida_Blanca,1,0,0.0,1,100.0,505,6688,7.6
Kieran_Culkin,1,0,0.0,1,100.0,1741,6688,26.0
Hank_Stram,1,1,100.0,0,0.0,1188,6688,17.8
Jennifer_Lopez,21,6,28.6,15,71.4,2065,6688,30.9
Natalia_Vodonova,1,0,0.0,1,100.0,1414,6688,21.1
Diego_Diego_Lerman,1,0,0.0,1,100.0,2225,6688,33.3
Bronson_Arroyo,1,0,0.0,1,100.0,1999,6688,29.9
Bill_McBride,10,5,50.0,5,50.0,2146,6688,32.1
Matt_Dillon,3,1,33.3,2,66.7,2126,6688,31.8
Kirk_Johnson,3,2,66.7,1,33.3,2370,6688,35.4
Kenenisa_Bekele,1,1,100.0,0,0.0,1877,6688,28.1
Scott_Verplank,1,0,0.0,1,100.0,1166,6688,17.4
Bill_Self,1,0,0.0,1,100.0,1459,6688,21.8
Tina_Sinatra,1,1,100.0,0,0.0,1417,6688,21.2
Martin_Short,1,1,100.0,0,0.0,1944,6688,29.1
Bruce_Willis,1,1,100.0,0,0.0,1246,6688,18.6
Marwan_Muasher,1,1,100.0,0,0.0,1929,6688,28.8
Shireen_Amir_Begum,1,0,0.0,1,100.0,66,6688,1.0
Ontario_Lett,1,1,100.0,0,0.0,1883,6688,28.2
Hamad_Bin_Jassim,1,0,0.0,1,100.0,34,6688,0.5
Albert_Brooks,1,1,100.0,0,0.0,1847,6688,27.6
Michael_Michele,1,0,0.0,1,100.0,2359,6688,35.3
Jonathan_Byrd,1,0,0.0,1,100.0,2686,6688,40.2
Kevin_Keegan,1,1,100.0,0,0.0,1194,6688,17.9
Octavio_Lara,1,1,100.0,0,0.0,1948,6688,29.1
Dean_Jacek,1,0,0.0,1,100.0,2021,6688,30.2
Mike_Eskew,1,1,100.0,0,0.0,2029,6688,30.3
Andres_Manuel_Lopez_Obrador,1,1,100.0,0,0.0,1424,6688,21.3
Billy_Tibbets,1,1,100.0,0,0.0,2324,6688,34.7
Peter_Max,1,0,0.0,1,100.0,1917,6688,28.7
Kristin_Chenoweth,1,0,0.0,1,100.0,2347,6688,35.1
Matt_Doherty,3,0,0.0,3,100.0,56,6688,0.8
Larry_Ellison,3,1,33.3,2,66.7,1602,6688,24.0
Mohammed_Al_Hindi,1,1,100.0,0,0.0,1236,6688,18.5
Silvio_Berlusconi,33,1,3.0,32,97.0,1374,6688,20.5
Martha_Burk,4,0,0.0,4,100.0,869,6688,13.0
Gary_Marshall,1,0,0.0,1,100.0,2207,6688,33.0
Boris_Henry,1,0,0.0,1,100.0,853,6688,12.8
Laura_Ziskin,1,0,0.0,1,100.0,1889,6688,28.2
Eric_Staal,1,0,0.0,1,100.0,148,6688,2.2
Tom_Amstutz,1,0,0.0,1,100.0,1904,6688,28.5
Simona_Hradil,1,1,100.0,0,0.0,1279,6688,19.1
Walter_Annenberg,1,0,0.0,1,100.0,214,6688,3.2
Angelica_Romero,1,0,0.0,1,100.0,520,6688,7.8
Natalie_Juniardi,1,1,100.0,0,0.0,2311,6688,34.6
Misty_Dawn_Clymer,1,1,100.0,0,0.0,1201,6688,18.0
Brajesh_Mishra,1,0,0.0,1,100.0,1650,6688,24.7
Kent_McCord,1,0,0.0,1,100.0,616,6688,9.2
Debbie_Reynolds,4,2,50.0,2,50.0,2319,6688,34.7
Daryl_Jones,1,0,0.0,1,100.0,2217,6688,33.1
Hector_Mitelman,1,0,0.0,1,100.0,2469,6688,36.9
Joshua_Harapko,1,0,0.0,1,100.0,776,6688,11.6
